location,date,day_of_week,meal_period,category,item
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,BABY CORN
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,BABY SPINACH
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,BROCCOLI FLORETS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CAULIFLOWER FLORETS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CHICKPEAS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CHOPPED SWEET RED PEPPERS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CORN KERNELS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CROUTONS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CRUMBLED FETA CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,CUCUMBERS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,DICED TOFU
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,EGG  SALAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,HARDBOILED EGGS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,ICEBERG LETTUCE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,KALAMATA OLIVES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,KIDNEY BEANS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,PENNE PASTA SALAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,PEPPERONCINI PEPPERS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,POTATO SALAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,RED ONION
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,RIPE SLICED OLIVES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,ROMAINE LETTUCE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SEASONED BLACK BEANS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED CARROTS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED CHEDDAR  CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED MOZZARELLA CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED RED CABBAGE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SLICED BEETS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SLICED MUSHROOMS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,SPRING MIX GREENS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,TOMATO WEDGES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,WHITE CANNELLINI BEAN
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD BAR,WHOLE BLACK PITTED OLIVES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,BALSAMIC VINAIGRETTE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,BALSAMIC VINEGAR
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,BLUE CHEESE DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,CAESAR DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,FRENCH DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,GOLDEN ITALIAN DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,OLIVE AND CANOLA OIL BLEND
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SALAD DRESSING,RANCH DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Lunch,SOUPS,PASTA DITALINI & BEAN SOUP
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,BOILED HAM
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,CHICKEN CAESAR WRAP
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,DYNAMITE BUFFALO TOFU WRAP
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,GRILLED CHICKEN MONTREAL
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,ROTISSERIE BBQ CHICKEN
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,SLICED PROVOLONE CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,TUNA SALAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,TURKEY BREAST
Neilson Dining Hall,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,YELLOW AMERICAN CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ENTREES,BREADED FRIED FLOUNDER
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ENTREES,CHICKEN TERIYAKI
Neilson Dining Hall,2025-10-04,Saturday,Lunch,STARCH &  POTATOES,TATER TOTS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,VEGETABLES,ASPARAGUS SPEARS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,BANANAS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,CANTALOUPE MELON
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,GOLDEN PINEAPPLE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,GRANNY SMITH APPLES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,GREEN SEEDLESS GRAPES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,HONEYDEW MELON
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,RED DELICIOUS APPLES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,RED SEEDLESS  GRAPES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,STRAWBERRIES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,WATERMELON
Neilson Dining Hall,2025-10-04,Saturday,Lunch,FRUIT,WHOLE ORANGES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,ENGLISH MUFFIN
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,MEDIUM KAISER ROLL
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,PITA BREAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,SLICED RYE BREAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,SLICED WHITE BREAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,SLICED WHOLE WHEAT BREAD
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREADS,VARIETY WRAPS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,ASPARAGUS SPEARS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,BACON BITS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,BROCCOLI FLORETS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,CHOPPED RED & GREEN PEPPERS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,DICED ONIONS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,DICED TOMATOES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,EGG WHITES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,LIQUID EGGS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,PORK SAUSAGE CRUMBLES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SHRED MONTEREY JACK CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SHREDDED CHEDDAR  CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SLICED MUSHROOMS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SLICED YELLOW AMERICAN CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SMALL DICED HAM
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,HAWAIIAN SHRIMP FOR SAUTE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,STEAMED WHITE RICE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,TENDER COOKED BABY CARROTS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,TERIYAKI GLAZED TOFU VEGETABLE STIR FRY
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,THAI RED CURRY CHICKEN
Neilson Dining Hall,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,VEGETABLE FRIED RICE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,PIZZA & PASTA,CHEESE PIZZA
Neilson Dining Hall,2025-10-04,Saturday,Lunch,PIZZA & PASTA,CHEESE STUFFED RIGATONI
Neilson Dining Hall,2025-10-04,Saturday,Lunch,PIZZA & PASTA,FUSILLI PASTA
Neilson Dining Hall,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PEPPERONI PIZZA
Neilson Dining Hall,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PLAIN TOMATO SAUCE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,PIZZA & PASTA,VODKA SAUCE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,VEGETARIAN,BABY BOK CHOY WITH SWEET CHILI SAUCE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,VEGETARIAN,BAKED BROWN RICE
Neilson Dining Hall,2025-10-04,Saturday,Lunch,VEGETARIAN,FINGERLING POTATOS WITH ROASTED MUSHROOMS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,VEGETARIAN,NEW ORLEANS-STYLE JAMBALAYA
