location,campus,date,day_of_week,meal_period,category,item
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,BAGELS,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,PINK PASTA SAUCE
