Alexander Library,College Avenue Campus,169 College Ave New Brunswick NJ 08901-1163,848-932-7851
Art Library,College Avenue Campus, 71 Hamilton Street,848-932-7739
Carr Library,Livingston Campus,75 Avenue E,848-445-3613
Chang Library,Cook Campus,59 Dudley Road,848-932-0305
Douglass Library,Douglass Campus,8 Chapel Drive,848-932-9411
Library of Science and Medicine (LSM),Busch Campus,165 Bevier Road,848-445-3854
Math & Physics Library,Busch Campus,110 Frelinghuysen Road,848-445-3735
Robert Wood Johnson (RWJ) Library - Health Sciences,Downtown New Brunswick,Medical Education Building 1 Robert Wood Johnson Place,732-235-7610
